"Year","Date","Time","Round","Stadium","City","Country","HomeTeam","HomeGoals","AwayGoals","AwayTeam","Observation"
"1930","1930-07-13T09:00:00.000+09:00"," 15:00 ","Group 1","Pocitos","Montevideo ","Uruguay","France","4","1","Mexico"," "
"1930","1930-07-13T09:00:00.000+09:00"," 15:00 ","Group 4","Parque Central","Montevideo ","Uruguay","USA","3","0","Belgium"," "
"1930","1930-07-15T09:00:00.000+09:00"," 16:00 ","Group 1","Parque Central","Montevideo ","Uruguay","Argentina","1","0","France"," "
"1930","1930-07-19T08:30:00.000+09:00"," 16:50 ","Group 3","St. Jakob","Basel ","Switzerland","Uruguay","7","0","Scotland"," "
"1930","1930-07-19T08:30:00.000+09:00"," 17:00 ","Group 1","La Pontaise","Lausanne ","Switzerland","Brazil","1","1","Yugoslavia"," "
